Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
person from Canada	كَنَدِيّ كَنَدِيَّة	Canadian	kanadalainen	Καναδός Καναδέζος Καναδή Καναδέζα	orang kanada	カナダ人	加拿大人	n o u n	Kanadyjczyk Kanadyjka	canadense canadiano canadiana	Кана́ђанин Кана́ђа̄нка Kanáđanin Kanáđānka	Kanadčan Kanadčanka	canadiense	คนแคนาดา	None	noun
having a temperature slightly higher than usual	دَافِئ دَفِيء	warm	lämmin lämpöinen	ζεστός	hangat panas	暖かい 温かい ホカホカ	暖和 溫暖 温暖	a d j	ciepły	morno quente	топао topao	topel	caliente cálido caluroso	อุ่น	None	adj
being something that causes warmth	None	warm	lämmin	None	hangat	暖かい 温かい	None	a d j	ciepły	morno	topao	None	None	None	None	adj
to communicate by speech	تَكَلَّمَ تَحَدَّثَ اتْكَلَّم هَرَج	talk	puhua	μιλώ συνομιλώ	bicara ngomong bincang	話す しゃべる	說話 说话 説 说 講 讲	v e r b	mówić rozmawiać porozmawiać	falar conversar	гово̀рити govòriti	govoriti	hablar	พูด	None	verb
alternative name for molecular formula	None	chemical formula	kemiallinen kaava	None	rumus kimia	None	化學式 化学式	n o u n	None	fórmula química	None	None	None	None	None	noun
gastropod	بَزَّاقَة	slug	etana	γυμνοσάλιαγκας λείμαξ	siput	ナメクジ	鼻涕蟲 鼻涕虫 蛞蝓 蜒蚰 水蜒蚰	n o u n	ślimak	lesma	пуж голаћ пуж слинар puž golać puž slinar	polž slinar	babosa limaco	ทาก	None	noun
sensation perceived by the ear	صَوْت صوت	sound	ääni	ήχος	bunyi	音 響き	聲音 声音 聲 声 響 响 音聲 音声	n o u n	dźwięk fonia	som	звук zvuk	zvok	sonido	เสียง	None	noun
waterfowl of the genus Cygnus	تَمّ إِوَزّ عِرَاقِيّ وزة عراقي	swan	joutsen	κύκνος	angsa	白鳥 ハクチョウ	鵠 鹄 天鵝 天鹅	n o u n	łabędź	cisne	лабуд labud	labod	None	หงส์	None	noun
organ of hearing	أُذُن ودن أذون اذن إذن دانة إدن دان	ear	korva	αυτί ὠτίον ἀφτίον	telinga kuping	None	耳朵 耳	n o u n	ucho	ouvido orelha	у̏во у̏хо ȕvo ȕho	uho	oído oreja	หู	None	noun
fruiting body of a grain plant	سُنْبُلَة	ear	tähkä	στάχυ	bulir	穂	穗	n o u n	kłos	espiga	клас klas	None	None	None	None	noun
place of entering	مَدْخَل دخول	entrance	sisäänkäynti	είσοδος	jalan masuk	None	入口 門口 门口 進口 进口	n o u n	wejście	entrada	улаз ulaz	vhod	None	ทางเข้า	None	noun
quality or state of being acid	None	acidity	happamuus	None	keasaman tingkat keasaman	酸性度	酸性 酸度	n o u n	kwasowość	acidez	киселост kiselost	None	None	None	None	noun
to put into operation	فَعَّلَ	activate	aktivoida käynnistää	ενεργοποιώ	mengaktifkan	None	激活	v e r b	aktywować uaktywniać uaktywnić	ativar	aktivírati	aktivirati vključiti	activar	None	None	verb
excellence in morals	فَضِيلَة	virtue	hyvellisyys siveys	αρετή	kebajikan	美徳 徳	美德 德	n o u n	cnota	virtude	врлѝна vrlìna	vrlina	virtud	คุณ	None	noun
a good model quality	فَضِيلَة	virtue	hyve	None	fadilat	美徳	美德	n o u n	godność	virtude	None	None	virtud	None	None	noun
genetic disorder caused by a chromosomal excess	مُتَلَازِمَة دَاوْن	Down syndrome	Downin oireyhtymä Downin syndrooma	σύνδρομο Down	sindrom Down	ダウン症	唐氏綜合症 唐氏综合症 唐氏症	n a m e	zespół Downa	síndrome de Down	None	None	None	None	None	name
baked Italian dish	بِيتْزَا پِيتْزَا	pizza	pitsa	πίτσα	piza	ピザ ピッツァ ピザパイ	比薩 比萨 披薩 披萨 比薩餅 比萨饼	n o u n	None	pítiça	пица pica	None	None	พิซซ่า	None	noun
water in a gaseous state	None	water vapor	vesihöyry	None	uap air	水蒸気	水氣 水气	n o u n	para wodna	vapor de água	None	None	None	None	None	noun
(relative) designating the one(s) mentioned	None	which	joka mikä	ποιος ποια ποιο ποιοι ποιες	yang mana	None	None	d e t	który	qual o qual os quais a qual as quais	None	None	cual cuál cuales cuáles	ที่	None	det
(interrogative) what one or ones	أَيّ	which	mikä kumpi	ποιος ποια ποιο ποιοι ποιες	yang mana	どれ	None	p r o n	który	qual	None	kateri katera katero	cuál	None	None	pron
(relative) who, whom, what	اَلَّذِي	which	joka	None	yang	...の	所...的 ...的	p r o n	który	que	None	ki	quien	ซึ่ง	None	pron
citizen of Great Britain	بَرِيطَانِيّ بَرِيطَانِيَّة بِرِيطَانِيّ بِرِيطَانِيَّة	Briton	britti	Βρετανός Βρετανή Βρετανίδα	orang Inggris	イギリス人	英國人 英国人	n o u n	Brytyjczyk Brytyjka	britânico britânica	Бритонац Брита́нац Britonac Británac	None	británico británica	None	None	noun
affected by hunger; desirous of food	جَائِع جَوْعَان جعان جيعان جايع جوعان	hungry	nälkäinen	πεινασμένος νηστικός	lapar	空腹な 飢えた お腹が空いている 腹が減っている 饑い	飢餓 饥饿 餓 饿 飢 饥	a d j	głodny	faminto com fome esfomeado	гладан gladan	lačen	hambriento	หิว	None	adj
to consist of certain text	None	read	lukea	γράφω	berbunyi	None	None	v e r b	None	dizer	None	None	decir poner	None	None	verb
of text, etc., to be interpreted or read in a particular way	None	read	lukea	None	dibaca	None	None	v e r b	czytać się	ler-se	None	None	leerse interpertase entenderse	None	None	verb
to be able to hear (in a radio connection)	None	read	kuulla	None	mengerti	None	None	v e r b	None	copiar	None	None	None	None	None	verb
to make a study of	None	read	lukea opiskella	None	pelajari	None	None	v e r b	czytać studiować	estudar	None	None	estudiar	None	None	verb
to look at and interpret letters or other information	قَرَأَ قَرَا قِري	read	lukea	διαβάζω	baca	読む	讀 读 看	v e r b	czytać przeczytać	ler	чѝтати čìtati	brati	leer	อ่าน	None	verb
joint in the middle of the leg and area around it	رُكْبَة ركبة	knee	polvi	γόνατο	lutut dengkul	None	膝 膝蓋 膝盖	n o u n	kolano	joelho	ко̀љено ко̀лено kòljeno kòleno	koleno	rodilla hinojo	เข่า หัวเข่า	None	noun
anatomy: part of the foot	عَقِب كَعْب كعب	heel	kanta kantapää	φτέρνα	tumit tumit kaki	踵 ヒール	腳跟 脚跟 後跟 后跟	n o u n	pięta	calcanhar	пета peta	None	talón calcaño calcañar	ส้น ส้นเท้า	None	noun
to help someone to survive, or rescue someone	أَنْقَذَ أَنْجَى نَجَّى أنقذ	save	pelastaa	σώζω	selamatkan	救う 助ける 救助する 救出する	拯救	v e r b	ratować uratować	ajudar salvar socorrer	спаша́вати спаса́вати спа́сити спа̑сти spašávati spasávati spásiti spásti	reševati rešīti rẹ́šiti	rescatar	กู้ภัย	None	verb
Christianity: to redeem or protect someone from eternal damnation	None	save	pelastaa	σώζω λυτρώνω	selamatkan	救う	None	v e r b	zbawić	salvar	None	None	redimir	None	None	verb
to store for future use	اِدَّخَرَ	save	panna talteen säilyttää säästää	αποθηκεύω	simpan	保存する 保管する	節約 节约 儲蓄 储蓄	v e r b	None	armazenar estocar guardar	štédjeti	shraniti	ahorrar reservar	None	None	verb
computing: to write a file to a storage medium	حَفِظَ	save	tallentaa	αποθηκεύω	simpan rekam	保存する	保存	v e r b	zapisywać zapisać	guardar salvar gravar	спремити сачувати снимити похранити меморирати меморисати сејвати spremiti sačuvati snimiti pohraniti memorirati memorisati sejvati	shraniti	grabar archivar	บันทึก	None	verb
to accumulate money	خبّى	save	säästää	αποταμιεύω	menghemat	貯金する	None	v e r b	oszczędzać	poupar guardar	None	None	ahorrar	None	None	verb
back tooth	ضِرْس ضرس	molar	poskihammas	γομφίος τραπεζίτης	geraham	臼歯	臼齒 臼齿	n o u n	trzonowiec	dente molar	кутњак молар kutnjak	None	diente molar muela	กราม ฟันกราม	None	noun
fundamental force of attraction	None	gravitation	painovoima gravitaatio	None	gravitasi	None	重力 引力	n o u n	grawitacja ciążenie siła ciążenia	gravitação	гравита́ција те́жа gravitácija téža	None	gravitación	None	None	noun
augmentation of a view	None	zoom	zoomaus suurennus lähennys	None	zum	None	None	n o u n	obiektyw zmiennoogniskowy	None	None	None	None	None	None	noun
to change the focal length of a zoom lens	كَبَّرَ قَرَّبَ صَغَّرَ بَعَّدَ	zoom	zoomata suurentaa (zoom in) pienentää (zoom out)	None	zum	None	None	v e r b	None	dar zoom	None	None	enfocar	None	None	verb
to manipulate a display so as to magnify or shrink it	None	zoom	zoomata suurentaa (zoom in) lähentää (zoom in) pienentää (zoom out) loitontaa (zoom out)	None	zum	None	None	v e r b	None	None	None	None	None	None	None	verb
paved part of road in a village or a town	شَارِع زَنَقَة شارع شارِع زنقة	street	katu	οδός δρόμος	jalan jalan raya	道 道路 通り ストリート	街 路 馬路 马路 街路 街道	n o u n	ulica	rua	у̏лица ȕlica	None	calle lleca	ถนน	None	noun
up to this time	حَتَّى الْآن	hitherto	tähän mennessä siihen mennessä sitä ennen aiemmin	None	sampai saat ini hingga kini sampai sekarang	今まで これまで これまでのところ	到目前為止 到目前为止 迄今 迄今為止 迄今为止 至今	a d v	dotychczas dotąd	até agora	dòsad dòsada dòtad dòtada	do zdaj	hasta ahora hasta aquí hasta este momento en ese entonces	None	None	adv
grass cut and dried for use as animal fodder	تِبْن جَفِيف حَشِيش دَرِيس تبن	hay	heinä	άχυρο σανός	rumput kering	None	乾草 干草	n o u n	siano	feno relva forragem	се̑но сије̑но sȇno sijȇno	seno	heno	ฟาง	None	noun
vector quantity	None	velocity	nopeus	ταχύτητα	kecepatan velositas	None	速度	n o u n	prędkość	velocidade	brzina	hitrost	velocidad	ความเร็ว	None	noun
economics	مقاييس الدخل والإنتاج القومي	velocity gross national product disinflate	kiertonopeus bruttokansantuote	ακαθάριστο εθνικό προϊόν	produk nasional bruto	国民総生産	周轉率 周转率 國民生產總值 国民生产总值	v e r b	produkt narodowy brutto	velocidade produto nacional bruto	бруто национални производ bruto nacionalni proizvod	None	velocidad producto nacional bruto	มาตรวัดรายรับและผลผลิตของประเทศ	None	verb
uterus	رَحِم بَيْت الْوَلِد والدة	womb utero-	kohtu	μήτρα	rahim	母胎	子宮 子宫	p r e f i x	macica	útero matriz	матерница материца утроба maternica materica utroba	None	None	มดลูก	None	prefix
official language of Romania	رُومَانِيَّة	Romanian	romania	ρουμάνικα	bahasa Rumania	ルーマニア語	羅馬尼亞語 罗马尼亚语	n o u n	rumuński	romeno	румунски румуњски rumunski rumunjski	romúnščina	rumano	ภาษาโรมาเนีย	None	noun
in spite of the fact that	رَغْم أَنَّ مَعَ أَنَّ وَلَوْ	although	vaikka joskin	αν και	walau walaupun meski meskipun	...のに ...だけれども	雖然 虽然 儘管 尽管 雖說 虽说	c o n j	choć chociaż mimo że aczkolwiek lubo acz	embora conquanto apesar de	iako premda mada makar	čeprav četudi	aunque a pesar de	แม้	None	conj
but	فَقَط	although only	paitsi mutta jos sillä ehdolla, että	παρά ωστόσο παρ' όλ' αυτά μολαταύτα εντούτοις αλλά μόνο εκτός	tapi tetapi	しかし でも	但是 可是 不過 不过 然而	c o n j	jednakże	embora apesar de mas porém todavia só que	None	None	aunque	None	None	conj
a person from Turkey	تُرْكِيّ تُرْكِيَّة	Turk	turkkilainen	Τούρκος Τουρκάλα	orang turki	トルコ人	土耳其人	n o u n	Turek Turczynka	turco turca	Ту̀рчӣн Ту̏ркиња Tùrčīn Tȕrkinja	Túrek Túrkinja	None	None	None	noun
of, from, or pertaining to Arab countries or cultural behaviour	عَرَبِيّ	Arabic	arabialainen	αραβικός	arab Arab	アラビアの アラブの	阿拉伯	a d j	arabski	árabe arábico	а̀рапскӣ àrapskī	None	arábigo	อาหรับ อารบิก	None	adj
alphabet	أَبْجَدِيَّة عَرَبِيَّة	Arabic Ol Cemet'	arabia	None	huruf arab abjad arab	アラビア文字	阿拉伯字母	n a m e	None	árabe	а̀рапскӣ ара̀бица арѐбица àrapskī aràbica arèbica	None	None	อักษรอาหรับ	None	name
mixture	مرينج	admixture meringue blend	sekoitus marenki yhdistelmä	πρόσμιξη σύμμιξη mαρέγκα μπεζές	kue busa	メレンゲ ブレンド	混合 混合物 蛋白甜餅 蛋白甜饼 蛋白霜餅 蛋白霜饼	n o u n	beza mieszanka	suspiro mistura mescla combinação amálgama	пуслице	mešanica	mezcla merengue	เมอแร็งก์	None	noun
to produce harmonious sounds with one’s voice	غَنَّى غنى	sing	laulaa	τραγουδάω τραγουδώ άδω ψέλνω κελαηδώ	bernyanyi menyanyi berkicau	歌う 鳴く	唱歌 唱 鳴 鸣	v e r b	śpiewać zaśpiewać	cantar	пе̏вати пје̏вати pȅvati pjȅvati	peti zapeti	None	ขับร้อง ร้องเพลง ร้อง	None	verb
garment covering the body from the waist downwards	بِنْطَال سِرْوَال بَنْطَلُون بنطلون بَنْطَلون سروال	pants	housut	παντελόνι	celana	ズボン	褲子 裤子 長褲 长裤	n o u n	spodnie gacie galoty pantalony portki	calças	пантало́не pantalóne hlȁče	hlače	pantalón pantalones	กางเกง	None	noun
undergarment covering the genitals	سِرْوَال اَلسُّنَة كلوت سلب لباس أندر	pants	alushousut pikkuhousut	κιλότα σώβρακο	celana dalam cawat	パンツ 下穿き	內褲 内裤 襯褲 衬裤	n o u n	majtki gacie gatki	calcinha cueca	None	spódnje hláče	braga calzoncillo	None	None	noun
country in northwest Europe to the north of England	إِسْكُتْلَنْدَا إسكتلندا سْكُتْلَندا	Scotland	Skotlanti	Σκωτία	Skotlandia	スコットランド	蘇格蘭 苏格兰	n a m e	Szkocja	Escócia	Шко̏тска Škȍtskā	Škótska	Escocia	สกอตแลนด์	None	name
in the end	أَخِيرًا فِي اَلْآخِرْ	eventually when all is said and done	lopulta viimeinkin loppujen lopuksi	None	akhirnya pada akhirnya	とうとう 結局 ついに 最終的に やっと	最後 最后 終於 终于 終究 终究 終歸 终归 始終 始终	p h r a s e	w końcu wreszcie w ostatecznym rozrachunku koniec końców	finalmente enfim no final das contas	eventualno konačno na kraju na koncu	None	al final a la postre	None	None	phrase
