Indonesian	Arabic	Croatian	Thai	Slovene	Finnish	Portuguese	Japanese	Polish	Greek 	Chinese 	English 	Spanish 
tabiat manusia	للجسد	tijelu	None	mesu	None	None	None	None	σαρκος	None	carnal	None
kepada orang banyak	للجموع	None	None	množici	None	None	None	None	None	None	None	None
kepada semua orang	للجميع	None	None	None	None	None	None	None	None	None	None	None
siap untuk	للجند	None	None	None	valmiit	None	None	None	None	None	None	None
ngerinya	للحبالى	dojiljama	None	None	None	None	None	brzemiennym	None	None	fearful	Ay
bertugas	للخدمة	službu	None	None	toimittivat	None	None	trzymających	None	班	None	servir
untuk pengampunan	للخطية	None	None	None	None	None	None	None	None	None	None	None
untuk bagian	للخيمة	None	None	None	None	None	None	None	None	None	None	None
giliran	نوبة	red	เวร	vrste	vuoro	a vez	None	None	None	None	turn of	turno
diuji	للذهب	None	None	None	sulatin	prova	None	doświadczeniu	None	試驗	tried	prueba
kepada Allah yang sudah	للذي	None	None	None	None	None	None	None	None	None	None	None
kepada TUHAN	للرب	Jahvu	None	GOSPODA	Herralle	None	None	Panu	None	None	None	None
penghargaan kepada orang	للرجل	None	None	None	None	None	None	None	None	None	None	None
untuk didiami	للسكن	None	None	None	None	None	None	None	None	None	None	None
menjemur jala	للشباك	None	None	None	None	redes	None	sieci	None	None	None	None
kepada Iblis	للشيطان	None	None	satanu	None	None	None	szatanowi	None	None	None	None
gadis itu	للصبية	None	None	dekletu	tytölle	donzela	None	None	None	None	None	None
kepada adiknya	للصغيرة	mlađoj	None	mlajši	nuoremmalle	None	None	None	None	None	None	None
untuk lampu	للضوء	None	None	None	None	None	None	None	None	點燈	None	None
lampu di	للضوء	None	None	None	None	None	None	None	None	None	None	None
untuk perjalananmu	للطريق	None	None	None	None	None	None	None	None	行路	None	None
supaya mereka mengerjakan pekerjaan	للعمل	None	None	None	None	None	None	None	None	None	None	None
mensahkan perjanjian	للعهد	None	None	None	None	None	None	None	None	None	None	None
orang di rumahnya	للغرباء	None	None	None	None	None	None	None	None	None	None	None
kepada orang miskin	للفقراء	ubogima	None	ubogim	köyhille	None	None	ubogim	None	賙濟窮人	None	None
untuk menyambut	للقاء	None	None	None	None	None	None	None	None	None	None	None
menemui	للقاء	susret	พบ	naproti	None	encontro	None	None	συναντησιν	迎著	meet	encuentro
menemuinya	للقائه	None	None	priteče	None	None	None	None	None	None	meet him	None
berisi	للقطاف	None	None	pošla in	täyteläistä	cheias	None	strawiona	None	None	None	llenas
bagian imam	للكاهن	None	None	None	None	None	None	kapłanowi	None	None	None	None
dipakai untuk keperluan	للكرامة	None	None	None	None	None	None	None	None	None	None	None
kepada anjing	للكلاب	None	None	psičkom	penikoille	None	None	szczeniętom	None	None	None	None
ke pihak	للكلدانيين	None	None	None	None	None	None	None	None	投降	None	None
para imam	للكهنة	svećenicima	None	duhovniki	papit	None	None	kapłanom	None	祭司	None	None
untuk kurban bakaran	لمحرقة	None	None	None	None	None	None	None	None	None	None	None
tegak lurus	للمسكن	None	None	None	None	None	None	None	None	豎板	None	None
itu untuk orang miskin	للمسكين	None	None	None	None	None	None	None	None	None	None	None
milik Kristus	للمسيح	Kristovi	None	None	None	None	None	Chrystusowi	None	None	None	None
dalam hujan	للمطر	kiši	None	None	None	None	None	None	None	None	None	None
lumpuh itu	للمفلوج	uzetomu	None	mrtvoudnemu	None	paralítico	None	ruszonemu	παραλυτικον	None	paralytic	None
kepada orang lumpuh	للمفلوج	None	None	None	None	None	None	None	None	None	None	None
kepada orang yang lumpuh	للمفلوج	None	None	None	None	None	None	None	None	None	None	None
kepada malaikat	للملاك	anđelu	None	angelu	enkelille	None	None	Aniołowi	None	None	None	None
malaikat itu	للملاك	anđelu	None	angel	enkelille	anjo	None	Anioła	None	None	None	None
tawaran	للملك آسا	Asu	None	ugodil kralju	kuningas Aasaa	ao rei Asa	None	None	Ασα	None	king Asa	el rey Asa
agama	يتبرر	zakonoznanci	กฎหมาย	postave	lainoppineet	lei	None	Piśmie	νομος	士	scribes	ley
Lot	ولوط	Lotovim	โลท	Lotovim	Lootin	Ló	None	Lotowym	Λωτ	羅得	of Lot	de Lot
langsung	للوقت	ravno	None	naravnost	suoraan	direitura	None	zaraz	κατευωδωσεν	立刻	straightway	directo
kepada Lea	لليئة	None	None	Leji	Leealle	None	None	None	None	None	None	None
belum	لم	još	None	še	vielä	ainda não	None	jeszcze	None	未	None	None
untuk ternak	لماشيتهم	None	None	None	None	None	None	None	None	None	None	None
Makhir	وماكير	Makiru	None	Mahir	Maakirista	Maquir	None	Machir	του Μαχειρ	吉 的	of Machir	de Maquir
dimuliakan	لمجد	None	None	None	None	None	None	None	None	耀	glorified	None
untuk memuliakan	لمجد	None	None	None	None	None	None	None	None	None	None	None
untuk memerangi	لمحاربة	None	None	None	None	None	None	None	None	None	None	None
untuk pintu	لمدخل	None	None	None	None	None	None	None	None	None	None	None
seru Ahab kepada pengemudi	لمدير	None	None	None	None	None	None	None	None	None	None	None
kepada Mordekhai	لمردخاي	Mordokaju	None	Mardoheju	None	None	None	Mardocheusza	None	None	None	None
menyentuh	يلمسوا	doticala	จด	dotaknil	koskettivat	tocou	None	dotknęła	εγγιση	摸	toucheth	toque
menyentuh Aku	لمسني	None	None	None	None	None	None	None	None	None	None	None
dan mengenal	لمعرفة	None	None	None	None	None	None	None	None	None	None	None
Mefiboset	ومفيبوشث	Meribaale	None	Mefiboseta	Mefibosetin	Mefibosete	None	Mefiboseta	Μεμφιβοσθε	米 非 波設	unto Mephibosheth	de Mefiboset
kepada Ratu	لملكة	kraljici	None	kraljici	kuningattarelle	None	None	królowej	None	后	None	None
layak	مستحقا	oplijeni	สมควร	Vreden	kelvollinen	dignos	None	godnymi	περι ξενων πραγματων	不配	worthy	soy digno
Lemuel	لموئيل	None	None	None	None	Lemuel	None	None	Λεμουηλ	None	Lemuel	Lemuel
kepada Musa	لموسى	None	None	Mojzesu	Moosekselle	None	None	Mojżeszowi	None	None	None	None
mayat	ميتا ميتة	trupla	ศพ	mrtveca	ruumiinsa	cadáver	None	trupy	σωμα	屍 首	dead body	cadáveres
Mikhal	وميكال	prezre	คา	Mihalo	Miikal	Mical	None	Michol	Μιχαλ	米甲	that Michal the	Pero Mical
kita	نحن	smo	เรา	nam	meitä	nos	None	naszego	ημων	我 們	we	nuestro
Natan	وناثان	proroka Natana	None	Natanu	profeetta Naatan	Natã	None	Natanowego	Ναθαν	拿單	and Nathan	profeta Natán
Nahor	وناحور	Nahoru	None	Nahor	Naahorin	Naor	None	Nachor	τον Ναχωρ	拿鶴	the name of Nahor	de Nacor
Nebukadnezar	نبوخذراصر	babilonskoga	เนสซา	babilonskemu	Nebukadressarin	Babilônia	None	Babilońskiego	ηλθε Ναβουχοδονοσορ	尼布甲尼撒	Nebuchadrezzar	de Nabucodonosor
supaya kami dapat	لنحمد	None	None	None	None	None	None	None	None	None	None	None
kaul	نذورها	zavjetovani	None	obljube	None	votos	None	None	ευχης	還 願	vows	voto
kami melihat dan	لنرى	None	None	None	None	None	None	None	None	None	None	None
supaya kami melihat	لنرى	None	None	None	None	None	None	None	None	None	None	None
keturunannya	ولنسله	potomstvu	None	semenu	jälkeläisilleen	descendência	None	nasieniem	σπερμα	後 裔	seed	descendencia
untuk membeli	لنشتري	None	None	None	None	None	None	None	None	None	None	None
separuh	ونصف	polovinom	None	polovica	puoli	meia	None	połowa	το ημισυ της	那 半	half	mitad
kita dapat mendengar	لنعمل	None	None	None	None	None	None	None	None	None	None	None
Naomi	نعمي	Noemi	นา โอ	tašča	anoppinsa	Noêmi	None	Noemi	Ναομι	拿 俄 米	Naomi	Noemí
kepada Nuh	لنوح	None	None	Noetu	None	None	None	None	None	None	None	None
kepadanya	لها	mu	None	mu	hänelle	lhe	None	mu	προς αυτον	None	unto him	None
Haman	هامان	zasnovao	ฮา มาน	Hamanom	punonut	Hamã	None	Hamanowi	ο Αμαν	哈曼	Haman	de Amán
Harun	هرون	Aronu	โร	Arona	Aaronin	Arão	None	Aaronowi	τον Ααρων	亞倫	of Aaron	de Aarón
kepada mereka	لهم	im	None	jim	heille	lhes	None	im	None	None	None	None
Sekiranya	لو	Da	None	Ko bi	Ellei	None	None	Byście	Ειθε	None	Unless	None
Seandainya	لولا	None	None	Ako bi	Sillä jos ne	Se	None	gdyby	Αν	None	None	None
seandainya	لو	None	None	ako bi	None	None	None	None	αυτην εαν	None	None	None
muka dengan	لوجه	None	None	None	None	None	None	None	None	None	None	None
saya kedua	لوحي	None	None	None	None	None	None	None	None	None	None	None
Lodebar	لودبار	None	None	None	None	None	None	None	None	None	Debir	None
Lidia	ولود	Ludijci	None	Lud	luudilaiset	Lude	None	None	Λυδιοι	麥西	Lydia	ludeos
Lus	لوز	Luzu	None	Luza	Luus	Luz	None	Luz	Λουζ	路斯	Luz	Luz
Lotan	لوطان	Lotan	โลทาน	Lotan	Lootan	Lotã	None	Lotan	Λωταν	羅坍	Lotan	Lotán
Lukas	لوقا	Luka	None	Lukež	Luukas	Lucas	None	Łukasz	Λουκας	路 加	Luke	Lucas
bercela	لوم	neokaljan	None	madeža	nuhteeton	None	None	nagany	None	無可	upright	None
Lewiatan	لوياثان	Levijatana	None	leviatana	None	leviatã	None	Lewiatana	Λευιαθαν	鱷魚	leviathan	Leviatán
kamu akan makan	ليأكلوا	None	None	None	None	None	None	None	None	None	None	None
Lea	وليئة	Leu	None	In spočne	Niin Leea	Concebeu	None	Liję	Λειας	利亞	Leah	de Lea
agunglah	ليتعظم	Velik	None	None	None	None	None	None	None	None	magnified	None
Esa	ليتقدس	None	None	None	None	None	None	None	None	None	None	None
untuk berbicara	ليتكلم	None	None	None	None	None	None	None	None	None	None	None
terjadilah	يتم	se ispuni	None	se izpolni	kävisi	houve	None	None	None	應 了	fulfilled	se cumpliese
Lebih baik sekiranya	ليتنا	None	None	None	None	None	None	None	None	None	None	None
untuk menyerang	ليحاربك	None	None	None	None	None	None	None	None	None	None	None
untuk dilayani	ليخدم	None	None	None	palveltavaksi	None	None	None	None	None	None	None
untuk melayani	ليخدم	None	None	None	None	None	None	None	None	None	None	None
Biarlah orang	ليخز	None	None	None	Joutukoot	None	None	None	None	願那	None	None
dikalahkan oleh	ليد	None	None	porazili	None	None	None	None	None	None	None	derrotaron
kemenangan kepadamu	ليدك	None	None	None	None	None	None	None	None	們交	None	None
akan memberi kemenangan	ليدك	None	None	None	None	None	None	None	None	None	None	None
kemenangan atas	ليدنا	None	None	None	None	None	None	None	None	None	None	None
ia boleh	ليذهب	None	None	None	None	None	None	None	None	None	None	None
kepada Yerobeam	ليربعام	Jeroboamu	None	Jeroboamu	Jerobeamille	None	None	None	None	None	None	None
Berharaplah	ليرج	None	จง รอ คอย	Čakaj	Pane toivosi	Espera	None	Oczekujże	ελπιζη	你 當 仰 望	Wait	Espera
memulihkan	ويفرح اسرائيل	None	None	nazaj peljal	None	None	None	przywrócę	οπως επαναφερωσι	None	recover	restaure
untuk melihat	ليروا	None	None	gledat	katsomaan	None	None	None	None	None	None	None
mereka bukan	ليسا	None	None	nista	None	None	None	None	None	None	None	None
untuk mendengar	ليسمع	None	None	None	kuulemaan	None	None	None	None	None	None	None
tidak dapat dibunuh habis	ليسوا	None	None	None	None	None	None	None	None	None	None	None
kepada Yesus	ليسوع	None	None	None	Jeesukselle	None	None	None	None	None	None	None
kepada Yosua	ليشوع	None	None	Jozuetu	Joosualle	None	None	Jozuemu	None	對約書亞說	None	None
untuk pulang	ليصعدوا	None	None	None	None	None	None	None	None	None	None	None
untuk disalibkan	ليصلب	None	None	None	None	None	None	None	None	None	None	None
Yohanes untuk dibaptis	ليعتمدوا	None	None	None	None	None	None	None	None	None	None	None
Bergemuruhlah hai	ليعج	None	None	None	Pauhatkoon	None	None	None	None	None	None	None
supaya ia memberi	ليعطيهم	None	None	None	None	None	None	None	None	None	None	None
memberi mereka	ليعطيهم	None	None	None	None	None	None	None	None	None	None	None
kepada Yakub	ليعقوب	None	None	Jakobu	Jaakobille	None	None	None	None	None	None	None
Catatan kepada	ليفهم	None	None	None	None	None	None	None	None	None	None	None
Hendaklah	ليقل	Budite	None	Bodi	None	Sede	None	Rzecz teraz	γινεσθε	None	Let	None
Likaonia	ليكأونية	None	None	likaonski	None	None	None	None	None	呂 高	of Lycaonia	None
dan berbicara kepadamu	ليكلمك	None	None	None	None	None	None	None	None	None	None	None
Semoga	وليكن	nek	ขอ	Milost	olkoon	A graça	None	niech	Η χαρις	願	May	gracia
supaya dapat melayani	ليكهن	None	None	None	None	None	None	None	None	None	None	None
Siang	نهارا	danju	None	Po dnevi	päivät	de dia e	None	dnie i w	Ημεραν	晝	day and	día y de
Malam	وكان مساء	večer	None	Noč	yönä	E foi a	None	nocy	νυξ	夜	night	noche
puluh malam	ليلة	None	None	noči	yötä	noites	None	nocy	None	None	None	noches
surgawi	ليمثلوا	None	None	Božji postavit	None	None	None	None	παρασταθωσιν	None	None	None
memegang	ليمسك	uhvati	None	prime	tarttui	None	None	None	None	拿 著	hold	None
melarikan diri	وهرب	pobjegao	None	None	pakenee	fugido	None	uciekł	None	逃	None	huido
pemerintahan Yoyakim	ليهوياقيم	None	None	None	None	None	None	None	None	None	None	None
setelah Yoyakim	ليهوياقيم	None	None	None	None	None	None	None	None	None	None	None
kepada Yoab	ليوآب	None	None	Joabu	None	None	None	None	None	None	None	None
Yoab dan	ليوآب	None	None	None	None	None	None	None	None	None	None	None
Yoas	يواش	kralj Joaš	อา ช	Joasove	Jooas	Jeoás	None	Joasa	Ιωας	約阿施	of Joash	de Joás
Yoram	يورام	Joramom	None	Joramom	Jooramin	Jeorão	None	Jorama	Ιωραμ	約蘭	Joram	Joram
kepada Yusuf	ليوسف	None	None	Jožefa	Joosefille	None	None	Józefa	None	None	None	None
kepada Yonatan	ليوناثان	None	None	None	None	None	None	None	None	None	None	None
dari seratus	مئات	None	None	None	None	None	None	None	None	None	None	None
ratus	مئة	stotine	None	tristo	None	trezentos	None	set	τετρακοσιους	三百	hundred	None
dua ratus	مئتي	dvjesta	None	dvesto	kaksisataa	duzentas	None	dwieście	None	二百	None	None
apa	ماذا	što	อะไร	kaj	mitä	None	None	co	τι	None	what	qué
isinya	وملأها	None	คำรน	je v njih	mitä siinä	quanto há	None	co w nich jest	τα εν	充滿 的 澎湃	the stalls	plenitud
istananya	مائدته	dvorane	None	None	None	None	None	None	None	己 宮	the palace shall	palacio
meninggal	ومات	umro	None	umrl	meni lepoon isiensä tykö	morte	None	umarła	μετα των πατερων αυτου	死了	slept	reposó con
Media	مادي	medijskih	None	Medov	meedialaisten	Média	None	Medskie	των Μηδων	瑪代	the Medes	medos
Madai	مادي	Madaj	None	Madai	Maadai	medos	None	None	Μαδαι	瑪代	the Medes	medos
Apa	ماذا	Što	อะไร	Kaj	Mitä	Que	None	Cóż	τι	None	What	None
Mesekh	وماشك	Mešeka	เมเชค	Mesek	Mesekin	Meseque	None	Mesech	Μεσεχ	米 設	Meshech	Mesec
kepada mereka berjalan	ماشيا	None	None	None	None	None	None	None	None	None	None	None
Ia berjalan	ماشيا	None	None	None	None	None	None	None	None	None	None	None
mereka berjalan di	ماشيا	None	None	None	None	None	None	None	None	None	None	None
tajam	مسنونة	oštrim	คม	ostri	terävä	agudas	None	ostry	οξεα	快	sharp	sagacidad
harta milik	مالك	None	None	None	None	None	None	None	None	None	None	None
Diberkatilah	مبارك	Blagoslovljen	None	Blagoslovljen	siunattu olkoon	bendito	None	Błogosławiony	ευλογημενος	都 必 蒙	shall be blessed	Bendito
diberkati	يبارك	blagoslovljeni	พร	blagoslovljeni	siunauksen	benditos	None	błogosławiony	ευλογιαν	賜 福	blessed	benditos
dibenci	مكروه	zamrziti	None	sovraži	None	abominação ao	None	nienawiści	μισουμενοι	恨惡	hated	aborrecidos
Matica	ومتثيا	Matitja	None	Matitija	Mattitja	Matatias	None	Matytyjasz	Ματταθιου	瑪 他	of Mattathias	de Matatías
Matat	متثات	Matatov	None	Matatov	Mattatin	Matate	None	None	Ματθατ	None	of Matthat	de Matat
